ts,lat,status
505.8,71.5,200
506.4,46.3,200
507.0,61.3,200
507.6,52.5,200
508.2,309.7,200
508.8,66.8,200
509.4,81.9,200
510.0,56.7,200
510.6,81.6,200
511.2,49.8,200
511.8,67.8,200
512.4,77.1,200
513.0,60.1,200
513.6,50.7,500
514.2,34.0,200
514.8,42.0,200
515.4,76.3,200
516.0,63.7,200
516.6,35.2,200
517.2,81.7,200
517.8,61.2,200
518.4,40.6,200
519.0,72.0,200
519.6,47.5,200
520.2,52.1,200
520.8,76.4,200
521.4,69.6,200
522.0,72.7,200
522.6,42.0,200
523.2,58.6,200
523.8,64.8,200
524.4,39.9,200
525.0,60.1,200
525.6,80.1,200
526.2,82.0,200
526.8,423.4,200
527.4,52.7,200
528.0,84.6,200
528.6,69.8,200
529.2,58.1,200
529.8,54.1,200
530.4,49.9,200
531.0,59.3,200
531.6,71.5,200
532.2,40.4,200
532.8,66.0,200
533.4,62.3,200
534.0,58.7,200
534.6,35.4,200
535.2,77.5,200
535.8,54.7,200
536.4,62.3,200
537.0,241.8,200
537.6,59.2,200
538.2,65.4,200
538.8,48.7,200
539.4,73.6,200
540.0,38.5,200
540.6,246.2,200
541.2,60.6,200
541.8,76.9,200
542.4,28.6,200
543.0,49.2,200
543.6,57.8,200
544.2,48.3,200
544.8,71.6,200
545.4,84.5,200
546.0,54.2,200
546.6,441.8,200
547.2,48.2,200
547.8,55.0,200
548.4,61.4,200
549.0,50.2,200
549.6,50.8,500
550.2,65.9,200
550.8,82.0,200
551.4,60.2,200
552.0,61.3,200
552.6,77.4,200
553.2,88.2,200
553.8,44.8,200
554.4,65.8,200
555.0,63.4,200
555.6,24.5,200
556.2,75.4,200
556.8,52.5,200
557.4,36.7,200
558.0,63.7,200
558.6,40.5,200
559.2,22.2,200
559.8,51.3,200
560.4,72.5,200
561.0,395.5,200
561.6,56.9,200
562.2,65.8,200
562.8,285.4,200
563.4,105.8,200
564.0,60.0,200
564.6,383.5,200
565.2,67.9,200
565.8,59.1,200
566.4,49.9,200
567.0,54.3,200
567.6,52.6,200
568.2,62.7,200
568.8,51.2,200
569.4,62.2,200
570.0,56.2,200
570.6,51.6,200
571.2,80.4,200
571.8,64.5,200
572.4,71.3,200
573.0,64.5,200
573.6,41.6,200
574.2,40.2,200
574.8,43.4,200
575.4,55.2,200
576.0,55.6,200
576.6,69.6,200
577.2,34.8,200
577.8,55.3,200
578.4,57.1,200
579.0,87.5,200
579.6,75.3,200
580.2,38.0,200
580.8,37.3,200
581.4,225.4,200
582.0,78.3,200
582.6,53.7,200
583.2,47.1,200
583.8,60.6,200
584.4,59.5,200
585.0,59.9,200
585.6,85.2,200
586.2,45.9,200
586.8,64.4,200
587.4,31.3,200
588.0,54.5,200
588.6,64.2,200
589.2,69.9,200
589.8,23.2,200
590.4,83.8,200
591.0,48.6,200
591.6,57.0,200
592.2,52.7,200
592.8,494.2,200
593.4,58.6,200
594.0,63.5,200
594.6,79.0,200
595.2,69.0,200
595.8,59.0,200
596.4,72.4,200
597.0,49.3,200
597.6,60.6,200
598.2,60.5,200
598.8,45.4,200
599.4,60.6,200
