variant,task,session_length,model,samples,median_total_tokens,median_time_seconds,median_usd_cost,success_rate,retry_count_avg,stdev_total_tokens,stdev_time_seconds
ilo-post-phase-1,04-tool-interaction,20,claude-haiku-4-5-20251001,60,551.0,0.021,0.00014,1.0,0.6666666666666666,252.5,0.003
ilo-post-phase-1,04-tool-interaction,50,claude-haiku-4-5-20251001,150,551.0,0.021,0.00014,1.0,0.6666666666666666,176.7,0.003
ilo-post-phase-1,04-tool-interaction,100,claude-haiku-4-5-20251001,300,551.0,0.024,0.00014,1.0,0.6666666666666666,141.1,0.003
ilo-post-phase-1,05-workflow,1,claude-haiku-4-5-20251001,3,1724,0.034,0.00192,1.0,0.6666666666666666,112.2,0.002
ilo-post-phase-1,05-workflow,5,claude-haiku-4-5-20251001,15,644,0.035,0.00041,1.0,0.6666666666666666,446.3,0.003
ilo-post-phase-1,05-workflow,20,claude-haiku-4-5-20251001,60,644.0,0.033,0.00041,1.0,0.6666666666666666,260.8,0.004
ilo-post-phase-1,05-workflow,50,claude-haiku-4-5-20251001,150,644.0,0.032,0.00041,1.0,0.6666666666666666,188.3,0.004
ilo-post-phase-1,05-workflow,100,claude-haiku-4-5-20251001,300,644.0,0.031,0.00041,1.0,0.6666666666666666,155.4,0.003
ilo-pre-phase-1,01-simple-function,1,claude-haiku-4-5-20251001,3,4434,0.023,0.00441,1.0,0.6666666666666666,88.2,0.003
ilo-pre-phase-1,01-simple-function,5,claude-haiku-4-5-20251001,15,834,0.022,0.00011,1.0,0.6666666666666666,1442.7,0.003
ilo-pre-phase-1,01-simple-function,20,claude-haiku-4-5-20251001,60,834.0,0.02,0.00011,1.0,0.6666666666666666,789.5,0.002
ilo-pre-phase-1,01-simple-function,50,claude-haiku-4-5-20251001,150,834.0,0.022,0.00011,1.0,0.6666666666666666,511.7,0.022
ilo-pre-phase-1,01-simple-function,100,claude-haiku-4-5-20251001,300,834.0,0.02,0.00011,1.0,0.6666666666666666,368.9,0.003
ilo-pre-phase-1,02-with-dependencies,1,claude-haiku-4-5-20251001,3,4448,0.024,0.00454,1.0,0.6666666666666666,94.3,0.002
ilo-pre-phase-1,02-with-dependencies,5,claude-haiku-4-5-20251001,15,848,0.025,0.00026,1.0,0.6666666666666666,1443.1,0.002
ilo-pre-phase-1,02-with-dependencies,20,claude-haiku-4-5-20251001,60,848.0,0.024,0.00026,1.0,0.6666666666666666,790.2,0.002
ilo-pre-phase-1,02-with-dependencies,50,claude-haiku-4-5-20251001,150,848.0,0.027,0.00026,1.0,0.6666666666666666,512.7,0.004
ilo-pre-phase-1,02-with-dependencies,100,claude-haiku-4-5-20251001,300,848.0,0.025500000000000002,0.00026,1.0,0.6666666666666666,370.4,0.004
ilo-pre-phase-1,03-data-transform,1,claude-haiku-4-5-20251001,3,4422,0.03,0.00445,1.0,0.6666666666666666,93.3,0.008
ilo-pre-phase-1,03-data-transform,5,claude-haiku-4-5-20251001,15,822,0.031,0.00017,1.0,0.6666666666666666,1443.0,0.007
ilo-pre-phase-1,03-data-transform,20,claude-haiku-4-5-20251001,60,822.0,0.028,0.00017,1.0,0.6666666666666666,790.1,0.007
ilo-pre-phase-1,03-data-transform,50,claude-haiku-4-5-20251001,150,822.0,0.031,0.00017,1.0,0.6666666666666666,512.6,0.014
ilo-pre-phase-1,03-data-transform,100,claude-haiku-4-5-20251001,300,822.0,0.031,0.00017,1.0,0.6666666666666666,370.2,0.025
ilo-pre-phase-1,04-tool-interaction,1,claude-haiku-4-5-20251001,3,4431,0.021,0.00443,1.0,0.6666666666666666,91.5,0.002
ilo-pre-phase-1,04-tool-interaction,5,claude-haiku-4-5-20251001,15,831,0.019,0.00014,1.0,0.6666666666666666,1442.9,0.002
ilo-pre-phase-1,04-tool-interaction,20,claude-haiku-4-5-20251001,60,831.0,0.02,0.00014,1.0,0.6666666666666666,789.9,0.005
ilo-pre-phase-1,04-tool-interaction,50,claude-haiku-4-5-20251001,150,831.0,0.019,0.00014,1.0,0.6666666666666666,512.2,0.007
ilo-pre-phase-1,04-tool-interaction,100,claude-haiku-4-5-20251001,300,831.0,0.018,0.00014,1.0,0.6666666666666666,369.7,0.006
ilo-pre-phase-1,05-workflow,1,claude-haiku-4-5-20251001,3,4524,0.035,0.00472,1.0,0.6666666666666666,112.2,0.002
ilo-pre-phase-1,05-workflow,5,claude-haiku-4-5-20251001,15,924,0.029,0.00041,1.0,0.6666666666666666,1444.4,0.002
ilo-pre-phase-1,05-workflow,20,claude-haiku-4-5-20251001,60,924.0,0.032,0.00041,1.0,0.6666666666666666,792.6,0.034
ilo-pre-phase-1,05-workflow,50,claude-haiku-4-5-20251001,150,924.0,0.029,0.00041,1.0,0.6666666666666666,516.3,0.018
ilo-pre-phase-1,05-workflow,100,claude-haiku-4-5-20251001,300,924.0,0.029,0.00041,1.0,0.6666666666666666,375.4,0.006
python-baseline,01-simple-function,1,claude-haiku-4-5-20251001,3,449,0.15,0.00051,1.0,0.6666666666666666,89.1,0.005
python-baseline,01-simple-function,5,claude-haiku-4-5-20251001,15,449,0.147,0.00022,1.0,0.6666666666666666,89.1,0.006
python-baseline,01-simple-function,20,claude-haiku-4-5-20251001,60,449.0,0.146,0.00022,1.0,0.6666666666666666,89.1,0.033
python-baseline,01-simple-function,50,claude-haiku-4-5-20251001,150,449.0,0.147,0.00022,1.0,0.6666666666666666,89.1,0.031
python-baseline,01-simple-function,100,claude-haiku-4-5-20251001,300,449.0,0.148,0.00022,1.0,0.6666666666666666,89.1,0.012
python-baseline,02-with-dependencies,1,claude-haiku-4-5-20251001,3,542,0.183,0.00081,1.0,0.6666666666666666,124.5,0.008
python-baseline,02-with-dependencies,5,claude-haiku-4-5-20251001,15,542,0.202,0.00051,1.0,0.6666666666666666,124.5,0.011
python-baseline,02-with-dependencies,20,claude-haiku-4-5-20251001,60,542.0,0.192,0.00051,1.0,0.6666666666666666,124.5,0.019
python-baseline,02-with-dependencies,50,claude-haiku-4-5-20251001,150,542.0,0.193,0.00051,1.0,0.6666666666666666,124.5,0.014
python-baseline,02-with-dependencies,100,claude-haiku-4-5-20251001,300,542.0,0.0995,0.00051,1.0,0.6666666666666666,124.5,0.045
python-baseline,03-data-transform,1,claude-haiku-4-5-20251001,3,409,0.063,0.00046,1.0,0.6666666666666666,86.3,0.002
python-baseline,03-data-transform,5,claude-haiku-4-5-20251001,15,409,0.062,0.00019,1.0,0.6666666666666666,86.3,0.003
python-baseline,03-data-transform,20,claude-haiku-4-5-20251001,60,409.0,0.063,0.00019,1.0,0.6666666666666666,86.3,0.003
python-baseline,03-data-transform,50,claude-haiku-4-5-20251001,150,409.0,0.063,0.00019,1.0,0.6666666666666666,86.3,0.005
python-baseline,03-data-transform,100,claude-haiku-4-5-20251001,300,409.0,0.069,0.00019,1.0,0.6666666666666666,86.3,0.036
python-baseline,04-tool-interaction,1,claude-haiku-4-5-20251001,3,441,0.074,0.00051,1.0,0.6666666666666666,91.0,0.001
python-baseline,04-tool-interaction,5,claude-haiku-4-5-20251001,15,441,0.069,0.00023,1.0,0.6666666666666666,91.0,0.005
python-baseline,04-tool-interaction,20,claude-haiku-4-5-20251001,60,441.0,0.068,0.00023,1.0,0.6666666666666666,91.0,0.006
python-baseline,04-tool-interaction,50,claude-haiku-4-5-20251001,150,441.0,0.071,0.00023,1.0,0.6666666666666666,91.0,0.006
python-baseline,04-tool-interaction,100,claude-haiku-4-5-20251001,300,441.0,0.071,0.00023,1.0,0.6666666666666666,91.0,0.005
python-baseline,05-workflow,1,claude-haiku-4-5-20251001,3,587,0.126,0.00091,1.0,0.6666666666666666,132.0,0.003
python-baseline,05-workflow,5,claude-haiku-4-5-20251001,15,587,0.121,0.00058,1.0,0.6666666666666666,132.0,0.007
python-baseline,05-workflow,20,claude-haiku-4-5-20251001,60,587.0,0.121,0.00058,1.0,0.6666666666666666,132.0,0.01
python-baseline,05-workflow,50,claude-haiku-4-5-20251001,150,587.0,0.119,0.00058,1.0,0.6666666666666666,132.0,0.01
python-baseline,05-workflow,100,claude-haiku-4-5-20251001,300,587.0,0.115,0.00058,1.0,0.6666666666666666,132.0,0.017
zero,01-simple-function,1,claude-haiku-4-5-20251001,3,1581,0.009,0.00171,1.0,0.6666666666666666,109.8,0.002
zero,01-simple-function,5,claude-haiku-4-5-20251001,15,613,0.009,0.00032,1.0,0.6666666666666666,402.5,0.001
zero,01-simple-function,20,claude-haiku-4-5-20251001,60,613.0,0.008,0.00032,1.0,0.6666666666666666,237.9,0.002
zero,01-simple-function,50,claude-haiku-4-5-20251001,150,613.0,0.007,0.00032,1.0,0.6666666666666666,174.4,0.002
zero,01-simple-function,100,claude-haiku-4-5-20251001,300,613.0,0.008,0.00032,1.0,0.6666666666666666,146.1,0.001
zero,02-with-dependencies,1,claude-haiku-4-5-20251001,3,1676,0.007,0.00202,1.0,0.6666666666666666,145.7,0.001
zero,02-with-dependencies,5,claude-haiku-4-5-20251001,15,708,0.007,0.00062,1.0,0.6666666666666666,413.7,0.001
zero,02-with-dependencies,20,claude-haiku-4-5-20251001,60,708.0,0.007,0.00062,1.0,0.6666666666666666,256.4,0.001
zero,02-with-dependencies,50,claude-haiku-4-5-20251001,150,708.0,0.008,0.00062,1.0,0.6666666666666666,199.0,0.002
zero,02-with-dependencies,100,claude-haiku-4-5-20251001,300,708.0,0.008,0.00062,1.0,0.6666666666666666,174.6,0.002
zero,03-data-transform,1,claude-haiku-4-5-20251001,3,1605,0.009,0.00184,1.0,0.6666666666666666,127.3,0.002
zero,03-data-transform,5,claude-haiku-4-5-20251001,15,637,0.009,0.00047,1.0,0.6666666666666666,407.6,0.002
zero,03-data-transform,20,claude-haiku-4-5-20251001,60,637.0,0.0075,0.00047,1.0,0.6666666666666666,246.4,0.002
zero,03-data-transform,50,claude-haiku-4-5-20251001,150,637.0,0.008,0.00047,1.0,0.6666666666666666,185.9,0.001
zero,03-data-transform,100,claude-haiku-4-5-20251001,300,637.0,0.007,0.00047,1.0,0.6666666666666666,159.6,0.001
zero,04-tool-interaction,1,claude-haiku-4-5-20251001,3,1547,0.009,0.00164,1.0,0.6666666666666666,103.7,0.002
zero,04-tool-interaction,5,claude-haiku-4-5-20251001,15,579,0.008,0.00027,1.0,0.6666666666666666,400.8,0.002
zero,04-tool-interaction,20,claude-haiku-4-5-20251001,60,579.0,0.007,0.00027,1.0,0.6666666666666666,235.1,0.002
zero,04-tool-interaction,50,claude-haiku-4-5-20251001,150,579.0,0.008,0.00027,1.0,0.6666666666666666,170.6,0.002
zero,04-tool-interaction,100,claude-haiku-4-5-20251001,300,579.0,0.007,0.00027,1.0,0.6666666666666666,141.5,0.003
zero,05-workflow,1,claude-haiku-4-5-20251001,3,1770,0.007,0.00226,1.0,0.6666666666666666,168.8,0.001
zero,05-workflow,5,claude-haiku-4-5-20251001,15,802,0.007,0.00083,1.0,0.6666666666666666,422.4,0.001
zero,05-workflow,20,claude-haiku-4-5-20251001,60,802.0,0.008,0.00083,1.0,0.6666666666666666,270.2,0.001
zero,05-workflow,50,claude-haiku-4-5-20251001,150,802.0,0.007,0.00083,1.0,0.6666666666666666,216.4,0.001
zero,05-workflow,100,claude-haiku-4-5-20251001,300,802.0,0.008,0.00083,1.0,0.6666666666666666,194.3,0.002
